"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 02- 18","2,626.81","2,613.25","2,628.47","2,605.15","421.99M","0.63%"
"2025- 02- 17","2,610.42","2,595.99","2,612.80","2,592.57","366.34M","0.75%"
"2025- 02- 14","2,591.05","2,588.20","2,600.57","2,582.84","499.36M","0.31%"
"2025- 02- 13","2,583.17","2,558.95","2,583.74","2,555.98","680.34M","1.36%"
"2025- 02- 12","2,548.39","2,534.71","2,549.58","2,528.74","464.89M","0.37%"
"2025- 02- 11","2,539.05","2,532.87","2,549.44","2,527.74","451.09M","0.71%"
"2025- 02- 10","2,521.27","2,510.64","2,527.33","2,499.18","393.56M","-0.03%"
"2025- 02- 07","2,521.92","2,532.09","2,537.63","2,519.01","419.87M","-0.58%"
"2025- 02- 06","2,536.75","2,521.82","2,536.75","2,515.34","479.70M","1.10%"
"2025- 02- 05","2,509.27","2,503.94","2,514.71","2,498.74","437.34M","1.11%"
"2025- 02- 04","2,481.69","2,481.44","2,508.35","2,471.63","479.38M","1.13%"
"2025- 02- 03","2,453.95","2,468.74","2,468.74","2,437.61","522.85M","-2.52%"
"2025- 01- 31","2,517.37","2,534.33","2,537.98","2,496.95","454.40M","-0.77%"
"2025- 01- 24","2,536.80","2,529.29","2,542.83","2,522.64","602.01M","0.85%"
"2025- 01- 23","2,515.49","2,541.24","2,541.60","2,515.49","609.74M","-1.24%"
"2025- 01- 22","2,547.06","2,535.80","2,552.57","2,526.89","583.74M","1.15%"
"2025- 01- 21","2,518.03","2,533.23","2,548.44","2,507.95","572.01M","-0.08%"
"2025- 01- 20","2,520.05","2,533.68","2,536.72","2,516.28","437.55M","-0.14%"
"2025- 01- 17","2,523.55","2,520.85","2,528.48","2,513.84","445.88M","-0.16%"
"2025- 01- 16","2,527.49","2,528.27","2,534.01","2,519.86","451.06M","1.23%"
"2025- 01- 15","2,496.81","2,511.07","2,524.36","2,493.10","538.53M","-0.02%"
"2025- 01- 14","2,497.40","2,501.49","2,504.89","2,482.74","414.49M","0.31%"
"2025- 01- 13","2,489.56","2,508.15","2,513.93","2,483.73","578.56M","-1.04%"
"2025- 01- 10","2,515.78","2,528.42","2,535.24","2,506.29","377.59M","-0.24%"
"2025- 01- 09","2,521.90","2,526.10","2,535.87","2,515.82","404.29M","0.03%"
"2025- 01- 08","2,521.05","2,481.25","2,526.77","2,481.25","362.91M","1.16%"
"2025- 01- 07","2,492.10","2,513.49","2,521.86","2,492.09","407.69M","0.14%"
"2025- 01- 06","2,488.64","2,453.30","2,489.10","2,446.82","302.76M","1.91%"
"2025- 01- 03","2,441.92","2,402.58","2,454.67","2,402.58","407.54M","1.79%"
"2025- 01- 02","2,398.94","2,400.87","2,410.99","2,386.84","350.69M","-0.02%"
